Serial No.,CustomerID,Age,Gender,City_Tier,Loan_Type,Credit_Score,Monthly_Income,Loan_Amount,Tenure_Months,EMI,DTI_Ratio,Default
38,CUST00038,27,Male,Tier 3,Personal,788,145644,638277,12,57009.162789468384,0.391428159000497,0
39,CUST00039,41,Male,Tier 1,Auto,304,36871,1662516,24,79039.04072246175,2.1436641458724135,0
40,CUST00040,29,Male,Tier 1,Personal,508,29197,428442,84,7794.201161076182,0.2669521238851999,0
41,CUST00041,59,Female,Tier 1,Personal,516,89923,1470478,12,131339.08895406208,1.460572811784105,1
42,CUST00042,38,Female,Tier 3,Home,835,117657,1700374,84,30933.14148721123,0.2629094867896617,0
43,CUST00043,24,Female,Tier 1,MSME,641,107438,1828338,24,86922.52082772391,0.8090482029423846,0
44,CUST00044,45,Female,Tier 1,Auto,700,115909,1880538,60,42788.018476439174,0.36915182148443326,0
45,CUST00045,34,Male,Tier 2,Personal,761,115842,492416,36,16591.441069653025,0.14322474637569296,0
46,CUST00046,29,Male,Tier 2,Personal,510,94432,952506,24,45283.87126643542,0.4795394703748244,1
47,CUST00047,46,Female,Tier 1,Auto,325,56525,1706686,72,34260.19431836624,0.6061069317711851,0
48,CUST00048,22,Female,Tier 2,Home,551,31198,196087,84,3567.207517171392,0.11434090381343008,0
49,CUST00049,40,Male,Tier 1,Personal,302,109187,897343,12,80148.2321390085,0.7340455561468718,1
50,CUST00050,48,Female,Tier 3,MSME,301,113172,545892,84,9930.847256389894,0.08775003760992024,1
51,CUST00051,27,Female,Tier 1,Personal,301,114499,928638,72,18641.57691070237,0.16280995389219444,0
52,CUST00052,64,Female,Tier 1,Personal,449,121313,630509,36,21244.339983643622,0.17512006119413107,1
53,CUST00053,28,Male,Tier 2,Personal,882,37027,1774631,72,35624.12939661812,0.9621122261219682,1
54,CUST00054,55,Male,Tier 1,Auto,303,28792,1385525,60,31524.951529598657,1.0949205171436043,1
55,CUST00055,34,Female,Tier 2,MSME,796,96313,1122766,84,20425.31792125156,0.21207228433598332,0
56,CUST00056,37,Male,Tier 1,Personal,849,100330,695442,60,15823.442624021325,0.15771397013875535,0
57,CUST00057,56,Female,Tier 1,Personal,767,47544,57997,48,1555.9142793506917,0.032725775688850156,0
58,CUST00058,60,Female,Tier 2,Personal,369,100263,422132,36,14223.29534705365,0.14185986203338868,0
59,CUST00059,24,Male,Tier 2,Auto,500,128329,985573,24,46855.93671396774,0.3651235240200402,0
60,CUST00060,22,Female,Tier 2,MSME,607,46126,698478,60,15892.520953783589,0.34454582998273403,0
61,CUST00061,26,Female,Tier 1,Personal,551,114637,1028989,24,48920.012483467945,0.4267384220057045,1
62,CUST00062,62,Male,Tier 1,Home,586,142208,500507,84,9105.204999805708,0.06402737539242313,1
63,CUST00063,24,Female,Tier 1,Personal,591,38549,1129084,24,53678.71121545898,1.3924799920998983,0
64,CUST00064,49,Female,Tier 1,Personal,453,51155,1972061,84,35875.66143355006,0.7013129006656253,1
65,CUST00065,38,Female,Tier 2,Personal,432,52481,812488,12,72569.21470848798,1.3827711878296522,0
66,CUST00066,46,Male,Tier 3,Home,885,82967,1606363,72,32246.299861740088,0.3886641660146816,0
67,CUST00067,64,Female,Tier 1,Home,573,114320,494790,24,23523.218398539833,0.20576643105790618,0
68,CUST00068,54,Male,Tier 1,Personal,808,97561,1019406,84,18544.9965895221,0.19008616752105964,0
69,CUST00069,30,Female,Tier 1,MSME,652,35446,374570,48,10048.775136927574,0.2834953206829423,0
70,CUST00070,56,Female,Tier 1,Home,304,23507,451740,36,15220.90587796712,0.6475052485628587,0
71,CUST00071,34,Female,Tier 1,Personal,592,140183,1632935,36,55020.03351449558,0.3924872025459263,0
72,CUST00072,51,Female,Tier 3,Personal,659,48208,154613,12,13809.611949620736,0.2864589269337192,0
73,CUST00073,35,Male,Tier 2,Home,897,32522,877898,48,23551.804990144552,0.7241807081404757,0
74,CUST00074,28,Male,Tier 3,Personal,513,62402,136132,72,2732.7280899637262,0.043792315790579246,0
75,CUST00075,34,Female,Tier 3,MSME,705,60102,755454,48,20266.939082928384,0.3372090626423145,0
76,CUST00076,43,Female,Tier 2,Home,735,29040,1222091,84,22232.234680868714,0.765572819589143,1
77,CUST00077,60,Female,Tier 2,Personal,314,119254,1567109,36,52802.09542992689,0.44277001551249345,1
78,CUST00078,41,Female,Tier 1,Personal,572,51189,1925247,48,51649.55598698349,1.0089971671058917,1
79,CUST00079,36,Female,Tier 2,Personal,862,126738,228632,72,4589.5828215598585,0.03621315486720525,0
80,CUST00080,38,Female,Tier 3,Personal,344,98998,1668788,60,37970.05525932472,0.3835436600671197,1
81,CUST00081,44,Female,Tier 1,MSME,711,101070,1022046,24,48589.92960923633,0.4807552152887734,0
82,CUST00082,46,Female,Tier 3,Personal,486,70581,1993238,84,36260.91264138708,0.513748921684123,0
83,CUST00083,45,Male,Tier 1,Auto,469,121531,1322023,24,62851.382923852194,0.5171633815557528,0
84,CUST00084,61,Male,Tier 3,Home,893,24009,1147840,36,38675.265867458664,1.61086533664287,0
85,CUST00085,49,Male,Tier 3,Personal,700,125847,1089375,36,36705.3489635862,0.29166645977723904,0
86,CUST00086,35,Female,Tier 2,Auto,545,66377,117799,72,2364.7095192139764,0.03562543530460817,0
87,CUST00087,21,Female,Tier 2,Auto,851,83861,271610,48,7286.616159705526,0.0868892114296935,0
88,CUST00088,45,Female,Tier 2,Auto,342,149817,88022,72,1766.9628884816732,0.011794141442437595,0
89,CUST00089,27,Male,Tier 3,MSME,478,125612,1451898,12,129679.57397133778,1.0323820492575373,1
90,CUST00090,29,Female,Tier 3,Home,756,59837,740939,36,24965.16310336715,0.4172194980257558,1
91,CUST00091,44,Male,Tier 2,Personal,834,135791,1373291,84,24982.859539203608,0.18398023093727572,0
92,CUST00092,21,Female,Tier 2,MSME,543,65557,132753,84,2415.037710440028,0.03683874659365176,0
93,CUST00093,64,Male,Tier 2,MSME,316,37474,884657,36,29807.59049737627,0.7954205715262921,1
94,CUST00094,28,Male,Tier 3,Auto,411,71439,1367947,36,46091.54056104725,0.6451873704985688,0
95,CUST00095,44,Male,Tier 2,MSME,897,83213,91189,72,1830.5375796704834,0.02199821638049924,0
96,CUST00096,31,Female,Tier 3,MSME,846,70296,457423,84,8321.422450887054,0.11837689841366585,0
97,CUST00097,37,Male,Tier 2,Auto,329,91711,1866194,72,37462.17469163581,0.40848071323653445,0
98,CUST00098,28,Female,Tier 1,Home,491,122727,390352,48,10472.166677122976,0.08532895513719863,0
99,CUST00099,55,Female,Tier 1,Auto,736,16177,1938414,60,44104.87533194669,2.726393974899344,0
100,CUST00100,55,Female,Tier 2,MSME,478,15761,747143,36,25174.200381595576,1.597246391827649,1
101,CUST00101,53,Female,Tier 1,MSME,773,21458,1723686,60,39219.15346330653,1.8277170968080219,0
102,CUST00102,25,Female,Tier 1,Auto,433,69775,135587,72,2721.7877026262136,0.03900806453065157,0
103,CUST00103,62,Male,Tier 2,MSME,611,108789,734239,48,19697.79375754216,0.18106420463045125,0
104,CUST00104,59,Female,Tier 1,Auto,324,141048,340989,72,6845.049060240362,0.04852992640973543,0
105,CUST00105,61,Female,Tier 1,MSME,670,133249,60015,12,5360.376301840651,0.04022826664245623,0
106,CUST00106,48,Female,Tier 2,Home,824,43433,419744,84,7635.96746386853,0.17581027016021297,0
107,CUST00107,27,Female,Tier 3,Personal,618,87715,1836897,24,87329.43128725849,0.9956043012855097,1
108,CUST00108,29,Female,Tier 2,MSME,529,29849,726856,24,34556.05899935138,1.1576957016768192,0
109,CUST00109,28,Male,Tier 3,Home,401,84980,968211,72,19435.969476037008,0.22871227907786548,1
110,CUST00110,32,Male,Tier 2,Personal,749,83500,172146,24,8184.134591311542,0.09801358791989871,0
111,CUST00111,54,Female,Tier 1,Personal,677,74891,723127,24,34378.775542919044,0.45905082777528733,1
112,CUST00112,53,Male,Tier 2,Home,502,74866,76467,48,2051.4181285085324,0.027401198521472128,0
113,CUST00113,43,Male,Tier 2,Personal,566,138469,1968230,24,93573.24147326757,0.6757703274615081,1
114,CUST00114,44,Female,Tier 1,Personal,761,91008,319262,48,8564.999994035217,0.09411260541969077,1
115,CUST00115,57,Male,Tier 1,Personal,664,18101,113884,12,10171.808627156888,0.5619473303771553,0
116,CUST00116,55,Female,Tier 2,MSME,403,41990,716573,36,24144.176268854942,0.5749982440784697,0
117,CUST00117,64,Male,Tier 1,MSME,410,84214,1195597,36,40284.38793327988,0.4783573744660019,1
118,CUST00118,60,Male,Tier 2,Auto,727,49611,1310685,36,44162.15748143474,0.890168661817636,1
119,CUST00119,42,Male,Tier 1,Auto,768,111265,1762804,84,32068.8657590753,0.28822060629196333,0
120,CUST00120,47,Female,Tier 2,Personal,880,30958,1674580,48,44924.78807378108,1.4511527900310446,1
121,CUST00121,55,Male,Tier 2,Personal,860,104786,1486922,48,39890.39384934892,0.38068438388094705,0
122,CUST00122,21,Male,Tier 1,Home,549,82002,1586661,48,42566.14146229715,0.5190866254761731,1
123,CUST00123,55,Female,Tier 1,Home,781,64887,878955,12,78505.86607322085,1.2098858950671298,0
124,CUST00124,57,Female,Tier 2,Personal,630,15339,1919036,60,43663.96628249572,2.846597971347266,1
125,CUST00125,34,Male,Tier 3,Home,886,125083,692179,48,18569.429280250402,0.1484568588877018,0
126,CUST00126,23,Female,Tier 3,Auto,500,65528,1502337,48,40303.93969855131,0.6150643953508623,1
127,CUST00127,21,Male,Tier 2,Personal,753,101639,50357,36,1696.7263410297742,0.016693654414444987,0
128,CUST00128,25,Male,Tier 2,MSME,803,97624,1333364,72,26766.089214485895,0.27417529720648504,0
129,CUST00129,46,Female,Tier 1,MSME,845,84260,413682,84,7525.687782048253,0.08931506980831062,0
130,CUST00130,34,Female,Tier 1,Home,410,121493,1745635,24,82990.66947419122,0.6830901325524205,1
131,CUST00131,59,Female,Tier 1,Auto,843,68570,1508594,24,71721.30830600215,1.0459575369112168,1
132,CUST00132,47,Male,Tier 2,Auto,508,36643,497955,12,44475.98402704425,1.213764812571139,0
133,CUST00133,29,Female,Tier 1,MSME,332,75252,1750481,24,83221.05714645487,1.1058982770750927,0
134,CUST00134,35,Male,Tier 1,Auto,854,106580,1100169,60,25032.225617991033,0.23486794537428254,0
135,CUST00135,35,Female,Tier 2,Auto,406,113856,1627466,36,54835.76129098958,0.4816238168475055,0
136,CUST00136,46,Male,Tier 2,Home,564,116795,1472993,12,131563.72190247715,1.1264499499334488,1
137,CUST00137,62,Female,Tier 1,MSME,525,77977,833837,24,39642.130721686495,0.5083823527666683,0
138,CUST00138,33,Male,Tier 1,Auto,786,15789,1304761,24,62030.71598233034,3.928729874110478,1
139,CUST00139,52,Female,Tier 2,MSME,478,48941,160903,72,3229.983750032567,0.06599750209502395,1
140,CUST00140,59,Male,Tier 2,Auto,521,15552,670153,36,22580.10301686213,1.4519099162076987,1
141,CUST00141,52,Female,Tier 2,Auto,669,34806,1371663,12,122513.20235460557,3.519887443389231,0
142,CUST00142,24,Female,Tier 1,MSME,466,51979,476228,36,16046.003374623733,0.3087016559499747,0
143,CUST00143,50,Male,Tier 2,Auto,852,46980,513324,12,45848.70123745814,0.9759195665699902,0
144,CUST00144,57,Female,Tier 3,MSME,599,15860,1082806,84,19698.36706583448,1.2420155779214679,0
145,CUST00145,43,Male,Tier 1,Home,680,15290,1508042,84,27434.244792414487,1.7942606142847932,1
146,CUST00146,59,Male,Tier 3,Personal,334,57417,703747,24,33457.415021154855,0.5827092154092839,1
147,CUST00147,35,Female,Tier 1,Auto,706,94880,1180745,36,39783.96535812699,0.41930823522477856,1
148,CUST00148,63,Male,Tier 1,Home,801,48397,1142629,36,38499.686683569504,0.7954973796633986,0
149,CUST00149,49,Female,Tier 2,Personal,613,120311,220460,60,5016.142483329654,0.04169313265893937,0
150,CUST00150,56,Female,Tier 1,Personal,400,31186,272779,84,4962.385570315701,0.15912222055780484,0
151,CUST00151,33,Male,Tier 1,Personal,868,130162,1825341,72,36642.08727163693,0.281511403263909,0
152,CUST00152,52,Female,Tier 2,MSME,514,84616,1878745,36,63302.34385642479,0.7481131683892501,1
153,CUST00153,27,Male,Tier 2,Personal,875,93508,645795,12,57680.650068269315,0.6168525694942606,0
154,CUST00154,42,Male,Tier 3,Auto,361,82296,1017166,60,23143.652296101292,0.2812245102568933,1
155,CUST00155,48,Female,Tier 2,Home,668,38304,1422031,36,47913.84426119329,1.2508835698933085,0
156,CUST00156,22,Female,Tier 1,Home,667,111161,1097887,36,36992.15188303822,0.33277994875035505,0
157,CUST00157,62,Male,Tier 2,Personal,873,29705,1964501,60,44698.43474845137,1.5047444789917983,0
158,CUST00158,26,Male,Tier 2,Auto,393,67996,1825440,24,86784.7446258626,1.276321322222816,0
159,CUST00159,48,Female,Tier 3,Home,768,25607,792149,36,26690.630385455734,1.0423177406746489,0
160,CUST00160,48,Female,Tier 3,Personal,325,45006,1845413,48,49507.809679800645,1.100026878189589,1
161,CUST00161,64,Female,Tier 3,MSME,734,93554,1286305,72,25821.421897575816,0.2760055358143512,0
162,CUST00162,64,Female,Tier 2,Personal,420,131196,778543,24,37013.353183480656,0.28212257373304567,1
163,CUST00163,40,Male,Tier 2,Home,349,55963,468715,36,15792.860713222999,0.282201824655987,0
164,CUST00164,50,Female,Tier 1,Personal,335,18447,1392505,24,66202.22566353141,3.588780054400792,1
165,CUST00165,31,Male,Tier 3,Auto,709,42156,394137,12,35203.24309720184,0.8350707632887807,0
166,CUST00166,48,Male,Tier 1,MSME,588,57120,1959544,24,93160.29320226426,1.6309575140452428,1
167,CUST00167,45,Female,Tier 1,Home,678,97753,757390,60,17232.949992964925,0.17629075315299708,0
168,CUST00168,59,Male,Tier 1,Personal,399,25190,218981,36,7378.33530363288,0.2929073165396141,0
169,CUST00169,53,Female,Tier 2,Auto,623,78394,306219,24,14558.209371212977,0.18570565822911164,0
170,CUST00170,21,Male,Tier 2,MSME,628,20335,1919902,48,51506.16302143131,2.532882371351429,1
171,CUST00171,47,Female,Tier 2,MSME,520,35557,177210,12,15827.914428879143,0.4451420094180933,1
172,CUST00172,33,Male,Tier 3,Auto,866,116092,1706988,12,152463.51783264795,1.313299088935051,0
173,CUST00173,61,Male,Tier 3,Home,409,112074,908438,84,16526.27080063515,0.14745856131337465,1
174,CUST00174,23,Female,Tier 1,Personal,448,35575,589761,24,28038.312831587642,0.7881465307543961,1
175,CUST00175,59,Female,Tier 1,MSME,705,87848,131697,60,2996.5114607051864,0.034110184189795854,0
176,CUST00176,26,Male,Tier 3,Personal,709,128216,70063,12,6257.83628819231,0.04880698421563853,1
177,CUST00177,28,Male,Tier 3,MSME,428,19616,1881553,84,34229.14321477907,1.7449604004271548,0
178,CUST00178,47,Female,Tier 2,MSME,783,48124,1614569,24,76759.55295481326,1.5950368413850315,0
179,CUST00179,29,Male,Tier 2,Auto,407,148662,128444,24,6106.461860551042,0.0410761449499606,1
180,CUST00180,57,Female,Tier 1,Home,688,24534,1634714,12,146008.201047857,5.951259519355058,0
181,CUST00181,53,Male,Tier 3,MSME,724,22921,1885992,24,89663.4970672385,3.9118492677997687,0
182,CUST00182,62,Female,Tier 2,Personal,746,147763,624738,24,29701.1831602639,0.20100555051172417,0
183,CUST00183,64,Male,Tier 2,Personal,367,57042,762060,72,15297.672613623228,0.2681826130504405,0
184,CUST00184,44,Female,Tier 1,MSME,365,66209,1695587,48,45488.35328002141,0.6870418414418192,1
185,CUST00185,35,Female,Tier 3,MSME,864,68603,569840,24,27091.232183803102,0.3948986514263677,0
186,CUST00186,52,Male,Tier 2,Personal,803,59377,143392,72,2878.4660937625144,0.04847779601129249,0
187,CUST00187,52,Female,Tier 1,MSME,803,54705,1118915,72,22461.21742706904,0.41058801621550206,0
188,CUST00188,44,Male,Tier 2,Personal,620,111492,1732013,24,82343.05476689135,0.7385557238805596,1
189,CUST00189,61,Female,Tier 2,MSME,879,30783,1661345,60,37800.70413665655,1.227973366359892,0
190,CUST00190,32,Female,Tier 2,Personal,746,23515,245423,12,21920.51375700472,0.9321928027643938,0
191,CUST00191,59,Female,Tier 2,MSME,873,148142,1282487,72,25744.77896389761,0.17378447006181644,0
192,CUST00192,22,Male,Tier 2,Home,509,97850,376380,72,7555.491717601647,0.07721504054779404,0
193,CUST00193,23,Female,Tier 3,Auto,669,111776,916051,84,16664.76621760938,0.14909073698834616,0
194,CUST00194,57,Male,Tier 1,Home,863,79206,753647,60,17147.78524056039,0.2164960386910132,0
195,CUST00195,37,Female,Tier 1,Personal,757,98364,1683170,36,56712.64919338095,0.576558997126804,0
196,CUST00196,22,Male,Tier 1,Personal,876,125532,1339090,60,30468.412582790108,0.24271430856506793,0
197,CUST00197,22,Male,Tier 2,Personal,462,133090,1019701,84,18550.363218709987,0.13938209646637603,0
198,CUST00198,48,Male,Tier 2,MSME,631,35936,1648299,36,55537.70739307417,1.5454615815080746,0
199,CUST00199,43,Female,Tier 3,Auto,649,106618,1559413,36,52542.786775309556,0.49281347216520244,0
200,CUST00200,57,Male,Tier 2,Personal,767,149170,1653701,60,37626.7796463065,0.2522409307924281,0
201,CUST00201,52,Female,Tier 2,Personal,725,42020,1858773,48,49866.22502494135,1.186725964420308,0
202,CUST00202,53,Male,Tier 3,Personal,626,137043,1049223,60,23873.047558679988,0.1742011453243142,0
203,CUST00203,21,Male,Tier 1,Personal,405,25985,1134071,72,22765.46056557792,0.8761000794911649,1
204,CUST00204,39,Male,Tier 3,Home,554,144100,1066184,12,95228.65028745601,0.660851147033005,1
205,CUST00205,22,Male,Tier 2,Personal,657,134635,1662624,60,37829.80531708012,0.28098046805867805,0
206,CUST00206,64,Female,Tier 2,Auto,743,61323,1211065,48,32489.841314582573,0.5298149359063088,0
207,CUST00207,46,Male,Tier 2,Personal,412,52708,963783,60,21929.024997781475,0.4160473741705524,1
208,CUST00208,52,Male,Tier 2,Home,329,85298,1120660,48,30064.501548306744,0.3524643197766272,0
209,CUST00209,26,Female,Tier 1,Personal,823,115057,1267106,12,113174.45595801216,0.9836381615895787,1
210,CUST00210,52,Male,Tier 2,Auto,345,20054,903033,24,42931.83467751696,2.1408115427105296,1
211,CUST00211,24,Male,Tier 2,MSME,470,134580,633639,48,16998.947670629397,0.1263110987563486,0
212,CUST00212,31,Male,Tier 3,Auto,429,86317,752921,48,20198.985035829475,0.234009349674218,1
213,CUST00213,37,Male,Tier 2,Personal,652,78304,1880017,72,37739.65904790449,0.4819633613596303,1
214,CUST00214,58,Female,Tier 3,Personal,502,31471,1804139,48,48400.5316142814,1.5379406950615295,0
215,CUST00215,44,Female,Tier 2,Home,525,116266,279096,12,24928.09438204646,0.21440571088750332,1
216,CUST00216,25,Male,Tier 2,Home,379,140022,1064500,36,35867.21190750431,0.25615411797792,0
217,CUST00217,54,Female,Tier 2,Personal,609,41527,1893828,48,50806.66289349728,1.223460950550179,1
218,CUST00218,26,Female,Tier 2,Home,334,58250,107232,84,1950.760613815922,0.033489452597698234,0
219,CUST00219,42,Male,Tier 3,MSME,863,134917,461973,12,41262.16981238409,0.3058337334241355,0
220,CUST00220,31,Female,Tier 2,Home,460,27029,1407308,72,28250.448849871238,1.0451903085527114,1
221,CUST00221,36,Male,Tier 2,Auto,895,56583,1580474,84,28751.925081693014,0.5081371627819843,0
222,CUST00222,53,Female,Tier 1,Personal,734,117061,1106634,72,22214.687341028693,0.1897701825631824,1
223,CUST00223,29,Female,Tier 2,Home,837,118100,1449108,24,68893.23544750553,0.5833466168290053,0
224,CUST00224,26,Female,Tier 1,Home,524,83147,391798,48,10510.95923618536,0.12641417292488435,0
225,CUST00225,36,Male,Tier 2,Personal,745,58042,1266390,36,42669.68387744893,0.735151853441455,0
226,CUST00226,49,Female,Tier 1,Auto,616,108125,174063,12,15546.832962214266,0.14378573837886027,0
227,CUST00227,23,Male,Tier 1,MSME,713,91604,122195,24,5809.373011195809,0.06341833338277596,0
228,CUST00228,40,Male,Tier 1,Home,394,70918,238052,36,8020.912662287661,0.1131012248270913,0
229,CUST00229,56,Female,Tier 1,Auto,524,137225,1168953,24,55574.156140237945,0.40498565232456146,1
230,CUST00230,39,Male,Tier 1,MSME,852,83882,1484877,36,50031.37436879218,0.5964494691208148,1
231,CUST00231,46,Female,Tier 3,Auto,365,51822,1772271,60,40324.61151716016,0.7781369209440038,0
232,CUST00232,23,Male,Tier 2,Personal,696,63760,529057,60,12037.672565558092,0.1887966211662185,0
233,CUST00233,39,Male,Tier 2,Personal,509,19200,1298608,60,29547.322679813824,1.5389230562403033,1
234,CUST00234,40,Female,Tier 2,Personal,773,62259,1146077,24,54486.58940670453,0.8751600476510148,0
235,CUST00235,52,Female,Tier 1,Personal,870,23527,1416597,60,32231.935015228788,1.3699976629076716,0
236,CUST00236,27,Female,Tier 3,Auto,789,25535,1113114,12,99420.31003660841,3.893491679522554,0
237,CUST00237,61,Female,Tier 1,Personal,479,126477,1075325,12,96045.09950473711,0.7593878689780522,0
238,CUST00238,53,Male,Tier 1,Personal,823,27438,690147,60,15702.96510225216,0.5723072054177476,1
239,CUST00239,60,Male,Tier 2,Auto,758,79344,422956,36,14251.059163504362,0.17961105015507614,0
240,CUST00240,59,Male,Tier 1,MSME,367,135127,578057,36,19477.02481316695,0.14413866076481346,0
241,CUST00241,38,Female,Tier 2,Personal,628,85388,868018,24,41267.15775958234,0.4832898974045807,0
242,CUST00242,60,Male,Tier 1,Personal,501,87249,921983,36,31065.250949851146,0.3560528023226759,0
243,CUST00243,21,Female,Tier 2,Auto,774,76083,674902,84,12277.792448015456,0.16137366360442484,0
244,CUST00244,31,Male,Tier 2,Personal,817,46354,904311,84,16451.192567894755,0.3549034078589713,0
245,CUST00245,48,Female,Tier 1,Personal,314,139365,102219,84,1859.5643015485089,0.013343122746374692,1
246,CUST00246,45,Male,Tier 2,Personal,341,86135,1920115,48,51511.87727805669,0.5980365388988993,0
247,CUST00247,43,Male,Tier 1,Home,842,26289,443899,36,14956.711600309305,0.5689342158434822,0
248,CUST00248,51,Female,Tier 2,MSME,588,124344,1713851,12,153076.5022958577,1.231072687832607,0
249,CUST00249,50,Male,Tier 1,Home,832,126568,1427310,72,28651.971102210548,0.2263761069323253,0
250,CUST00250,62,Female,Tier 2,Auto,543,64178,1946105,36,65571.96846336655,1.0217203475235523,0
251,CUST00251,55,Male,Tier 2,Home,866,81500,270203,84,4915.523072729256,0.06031316653655528,0
252,CUST00252,27,Male,Tier 1,Personal,897,132784,1817338,24,86399.56077925095,0.6506774971325684,1
253,CUST00253,36,Female,Tier 3,Personal,473,64223,167290,36,5636.661230630714,0.08776701852343731,1
254,CUST00254,46,Female,Tier 3,Home,833,83483,1315582,84,23933.01952630911,0.2866813546028426,0
255,CUST00255,22,Male,Tier 2,MSME,808,134178,1515477,24,72048.53867087845,0.5369623833331727,0
256,CUST00256,21,Male,Tier 2,MSME,543,148483,1950892,48,52337.547119179086,0.3524817461876382,0
257,CUST00257,32,Male,Tier 1,Personal,359,30674,1455146,60,33109.04322801058,1.0793846002481118,0
258,CUST00258,25,Male,Tier 2,Home,403,123707,1508154,48,40459.995242165336,0.3270631026713552,0
259,CUST00259,57,Male,Tier 1,Auto,602,83460,411470,12,36751.379437113595,0.4403472254626599,1
260,CUST00260,52,Male,Tier 1,Personal,376,15576,1058065,72,21239.708125256886,1.3636176248880898,1
261,CUST00261,29,Female,Tier 3,Auto,317,113264,50503,48,1354.8690251228165,0.011962044648986585,1
262,CUST00262,61,Female,Tier 2,Personal,833,65907,1794981,48,48154.84540688629,0.7306484198474561,0
263,CUST00263,55,Female,Tier 2,Auto,483,99325,1601610,12,143051.44195269523,1.440236012612084,0
264,CUST00264,39,Male,Tier 1,Personal,849,54651,850008,12,75920.39889319283,1.3891859049823942,0
